game_id,weather_id,temperature,precipitation,wind_speed,weather_condition,severe_weather_flag,weather_timestamp,weather_source_method,venue_name,latitude,longitude,temperature_max,temperature_min,temperature_avg,apparent_temperature,apparent_temperature_max,apparent_temperature_min,apparent_temperature_avg,rainfall,snowfall,snow_depth,wind_gust,wind_direction,sunshine,weather_code
2015_CON_20_ARI_CAR_20160124,WTH_00001,29.7,0.0,11.9,WMO_2,0,2016-01-24 12:00:00,open_meteo_daily_by_venue_coordinates,Bank of America Stadium,35.2258,-80.8528,41.5,21.8,29.7,21.7,35.7,13.6,21.7,0.0,0.0,0.262,23.9,325.0,14.03,2.0
2015_CON_20_NE_DEN_20160124,WTH_00002,28.6,0.0,7.7,WMO_3,0,2016-01-24 12:00:00,open_meteo_daily_by_venue_coordinates,Empower Field at Mile High,39.7439,-105.0201,41.3,18.1,28.6,21.4,34.9,9.0,21.4,0.0,0.0,0.295,15.4,248.0,12.1,3.0
2015_POST_18_GB_WSH_20160110,WTH_00003,52.2,0.539,17.2,WMO_63|PRECIP,1,2016-01-10 12:00:00,open_meteo_daily_by_venue_coordinates,Northwest Stadium,38.9078,-76.8644,58.8,44.7,52.2,46.9,54.4,33.1,46.9,0.539,0.0,0.0,41.6,178.0,5.55,63.0
2015_POST_18_KC_HOU_20160109,WTH_00004,70.0,0.0,0.0,INDOOR,0,2016-01-09 12:00:00,open_meteo_indoor_controlled_daily_values,NRG Stadium,29.6847,-95.4107,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_POST_18_PIT_CIN_20160109,WTH_00005,50.6,0.024,8.8,WMO_51|PRECIP,0,2016-01-09 12:00:00,open_meteo_daily_by_venue_coordinates,Paycor Stadium,39.0955,-84.516,55.1,48.2,50.6,47.1,51.4,43.9,47.1,0.024,0.0,0.0,19.0,177.0,4.02,51.0
2015_POST_18_SEA_MIN_20160110,WTH_00006,-8.0,0.0,10.7,WMO_3,1,2016-01-10 12:00:00,open_meteo_daily_by_venue_coordinates,TCF Bank Stadium,44.976,-93.2247,-0.6,-15.2,-8.0,-18.5,-11.5,-25.2,-18.5,0.0,0.0,0.558,20.1,310.0,8.17,3.0
2015_POST_19_GB_ARI_20160116,WTH_00007,70.0,0.0,0.0,INDOOR,0,2016-01-16 12:00:00,open_meteo_indoor_controlled_daily_values,State Farm Stadium,33.5276,-112.2626,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,,,
2015_POST_19_KC_NE_20160116,WTH_00008,34.7,1.024,11.9,WMO_73|SNOW,1,2016-01-16 12:00:00,open_meteo_daily_by_venue_coordinates,Gillette Stadium,42.0909,-71.2643,38.4,31.1,34.7,28.2,31.9,24.8,28.2,0.992,0.22,0.066,29.5,4.0,2.64,73.0
2015_POST_19_PIT_DEN_20160117,WTH_00009,19.7,0.0,4.5,WMO_3,1,2016-01-17 12:00:00,open_meteo_daily_by_venue_coordinates,Empower Field at Mile High,39.7439,-105.0201,34.5,9.8,19.7,12.5,28.7,2.1,12.5,0.0,0.0,0.591,10.7,220.0,10.62,3.0
2015_POST_19_SEA_CAR_20160117,WTH_00010,41.3,0.043,10.8,WMO_71|SNOW,1,2016-01-17 12:00:00,open_meteo_daily_by_venue_coordinates,Bank of America Stadium,35.2258,-80.8528,47.2,35.3,41.3,34.0,42.2,28.1,34.0,0.028,0.11,0.0,23.9,359.0,9.28,71.0
