Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,1138411,575780.0,562631.0,70542,63331,63650.0,63286,71310.0,77773.0,64357.0,65629,64609.0,64030.0,,68649.0,66873,64533.0,64135,68804,73051,63849.0
Atlanta Falcons,1185384,642432.0,542952.0,72291,69879,72441.0,72204,70016.0,70884.0,70691.0,62787,72665.0,70005.0,76545.0,,72139,67008.0,62364,70404,63480,69581.0
Baltimore Ravens,1220990,568423.0,652567.0,73611,70762,93566.0,70636,66341.0,71316.0,64828.0,67431,71051.0,71439.0,67551.0,70240.0,71344,,77455,71313,71544,70562.0
Buffalo Bills,1192970,565564.0,627406.0,70542,65601,70316.0,70636,71427.0,81118.0,70842.0,68704,70862.0,66474.0,71112.0,,70437,73493.0,65327,70725,70728,64626.0
Carolina Panthers,1175655,640515.0,535140.0,70007,70145,62417.0,77258,59307.0,70884.0,63380.0,76135,70292.0,70132.0,,73216.0,69214,69879.0,70570,68804,64434,69581.0
Chicago Bears,1076006,527841.0,548165.0,59403,71412,66624.0,59074,59307.0,61182.0,,64704,64609.0,58912.0,59419.0,57659.0,64275,71662.0,67017,56539,56346,77862.0
Cincinnati Bengals,1191765,530355.0,661410.0,66214,73558,66207.0,77258,66341.0,78809.0,68143.0,67239,65962.0,71439.0,70240.0,,66112,92587.0,63745,65734,66546,65631.0
Cleveland Browns,1134676,541808.0,592868.0,67431,60105,68016.0,62401,59030.0,69879.0,68143.0,67431,67431.0,,70006.0,67431.0,68306,66845.0,67983,65734,67942,70562.0
Dallas Cowboys,1401575,836749.0,564826.0,67431,93691,93566.0,80425,67380.0,93644.0,,71521,72665.0,93644.0,92969.0,64955.0,92196,92587.0,70570,93103,69879,91349.0
Denver Broncos,1142969,515265.0,627704.0,68714,74215,62738.0,82243,72825.0,70743.0,70008.0,76135,71051.0,73704.0,76545.0,62460.0,68306,,76496,70240,66546,
Detroit Lions,1153330,584300.0,569030.0,66530,64160,63650.0,66658,,93644.0,66971.0,64316,78330.0,71512.0,64273.0,66696.0,64275,63987.0,65327,56539,71688,64774.0
Green Bay Packers,1214251,702030.0,512221.0,47236,77827,67322.0,78335,72842.0,77773.0,78197.0,65618,78330.0,,59419.0,78222.0,77599,63987.0,68766,77885,67031,77862.0
Houston Texans,1216430,570666.0,645764.0,65306,71412,66843.0,71115,71427.0,64628.0,78197.0,71380,79818.0,71512.0,92969.0,71055.0,62588,,71221,73600,71544,61815.0
Indianapolis Colts,1161683,526138.0,635545.0,65306,77827,66624.0,66376,60214.0,64302.0,66299.0,71380,66954.0,66474.0,80582.0,66696.0,64626,,76496,65322,73164,63041.0
Jacksonville Jaguars,1114472,526117.0,588355.0,65582,60105,70316.0,71115,60214.0,61182.0,86651.0,65618,69879.0,65695.0,64273.0,,62588,61644.0,63251,61323,61995,63041.0
Kansas City Chiefs,1144982,588837.0,556145.0,73611,73558,72441.0,70240,73592.0,,71309.0,62533,73574.0,73704.0,71112.0,73216.0,73627,73571.0,67983,73600,67311,
